timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
2016-10-17T16:50:19.675+0000,69,HTTP Request,200,Thread Group 1-979,true,13536,4,4,66,1,0,cb15f68f197f,0
2016-10-17T16:50:19.677+0000,81,HTTP Request,200,Thread Group 1-981,true,13519,3,3,79,1,0,cb15f68f197f,0
2016-10-17T16:50:19.706+0000,70,HTTP Request,200,Thread Group 1-980,true,13473,3,3,68,1,0,cb15f68f197f,0
2016-10-17T16:50:19.727+0000,82,HTTP Request,200,Thread Group 1-982,true,13519,3,3,78,1,0,cb15f68f197f,0
2016-10-17T16:50:19.778+0000,71,HTTP Request,200,Thread Group 1-983,true,13528,4,4,68,1,0,cb15f68f197f,0
2016-10-17T16:50:19.758+0000,110,HTTP Request,200,Thread Group 1-981,true,13527,4,4,69,1,0,cb15f68f197f,0
2016-10-17T16:50:19.809+0000,73,HTTP Request,200,Thread Group 1-982,true,13520,4,4,71,1,0,cb15f68f197f,0
2016-10-17T16:50:19.829+0000,83,HTTP Request,200,Thread Group 1-984,true,13551,3,3,81,1,0,cb15f68f197f,0
2016-10-17T16:50:19.850+0000,81,HTTP Request,200,Thread Group 1-983,true,13479,4,4,72,1,0,cb15f68f197f,0
2016-10-17T16:50:19.879+0000,83,HTTP Request,200,Thread Group 1-985,true,13535,3,3,81,1,0,cb15f68f197f,0
2016-10-17T16:50:19.913+0000,70,HTTP Request,200,Thread Group 1-984,true,13568,4,4,68,1,0,cb15f68f197f,0
2016-10-17T16:50:19.930+0000,77,HTTP Request,200,Thread Group 1-986,true,13502,3,3,74,1,0,cb15f68f197f,0
2016-10-17T16:50:19.981+0000,78,HTTP Request,200,Thread Group 1-987,true,13472,4,4,76,1,0,cb15f68f197f,0
2016-10-17T16:50:19.962+0000,118,HTTP Request,200,Thread Group 1-985,true,13481,4,4,72,1,0,cb15f68f197f,0
2016-10-17T16:50:20.008+0000,72,HTTP Request,200,Thread Group 1-986,true,13502,4,4,67,1,0,cb15f68f197f,0
2016-10-17T16:50:20.031+0000,82,HTTP Request,200,Thread Group 1-988,true,13496,3,3,78,1,0,cb15f68f197f,0
2016-10-17T16:50:20.081+0000,87,HTTP Request,200,Thread Group 1-989,true,13480,4,4,85,1,0,cb15f68f197f,0
2016-10-17T16:50:20.059+0000,118,HTTP Request,200,Thread Group 1-987,true,13535,4,4,84,1,0,cb15f68f197f,0
2016-10-17T16:50:20.113+0000,75,HTTP Request,200,Thread Group 1-988,true,13552,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:20.132+0000,71,HTTP Request,200,Thread Group 1-990,true,13601,3,3,67,1,0,cb15f68f197f,0
